Order ID , Order Item ID , Order YearMonth , Order Year , Order Month , Order Day ,Order Time,Order Quantity,Product Department,Product Category,Product Name, Customer ID ,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Year,Shipment Month,Shipment Day,Shipment Mode, Shipment Days - Scheduled , Gross Sales , Discount % , Profit ,date,date_order,date_ship,Temps de traitements Commande-Livraison (Jours)
11,29,201501,2015,1,1,03:30,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,918,LATAM,South America,Brazil,Puerto Rico,2015,1,3,Standard Class,4,60,0.2,147,01/01/2015,01/01/2015,03/01/2015,2
13,39,201501,2015,1,1,07:00,4,Footwear,Electronics,Under Armour Women's Ignite Slide,9149,LATAM,Central America,Nicaragua,USA,2015,1,3,Standard Class,4,128,0.2,75,01/01/2015,01/01/2015,03/01/2015,2
15,46,201501,2015,1,1,04:54,3,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,2568,LATAM,South America,Brazil,USA,2016,3,19,Standard Class,4,180,0.16,147,01/01/2015,01/01/2015,19/03/2016,443
21,66,201501,2015,1,1,07:00,2,Fitness,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,2711,LATAM,Central America,Mexico,USA,2015,11,2,First Class,1,70,0.2,58,01/01/2015,01/01/2015,02/11/2015,305
25,74,201501,2015,1,1,08:24,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9503,LATAM,Central America,Mexico,USA,2015,1,7,Second Class,2,400,0.15,200,01/01/2015,01/01/2015,07/01/2015,6
31,89,201501,2015,1,1,10:30,5,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,6983,LATAM,Central America,Honduras,Puerto Rico,2015,1,3,Standard Class,4,500,0.01,245,01/01/2015,01/01/2015,03/01/2015,2
33,93,201501,2015,1,1,11:12,4,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5793,LATAM,Central America,Honduras,Puerto Rico,2015,1,3,First Class,1,200,0.16,125,01/01/2015,01/01/2015,03/01/2015,2
35,95,201602,2016,2,12,07:18,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,4840,LATAM,Central America,Mexico,USA,2016,2,16,Second Class,2,130,0.04,65,12/02/2016,12/02/2016,16/02/2016,4
41,104,201501,2015,1,1,14:00,4,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,8136,LATAM,Caribbean,Dominican�Republic,USA,2015,1,3,First Class,1,200,0.15,125,01/01/2015,01/01/2015,03/01/2015,2
43,109,201501,2015,1,1,14:42,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,7776,LATAM,Central America,Mexico,Puerto Rico,2015,1,3,First Class,1,300,0.05,150,01/01/2015,01/01/2015,03/01/2015,2
45,116,201501,2015,1,1,15:24,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,2636,LATAM,Central America,Mexico,Puerto Rico,2015,1,7,Standard Class,4,60,0.16,147,01/01/2015,01/01/2015,07/01/2015,6
51,127,201501,2015,1,1,17:31,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12271,LATAM,Central America,Mexico,USA,2015,1,3,Standard Class,4,400,0.06,200,01/01/2015,01/01/2015,03/01/2015,2
61,147,201501,2015,1,1,21:01,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,4791,LATAM,Central America,Mexico,USA,2015,1,3,Second Class,2,120,0.02,147,01/01/2015,01/01/2015,03/01/2015,2
63,154,201501,2015,1,1,21:43,2,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,1148,LATAM,Central America,Honduras,USA,2015,1,5,Standard Class,4,100,0.09,125,01/01/2015,01/01/2015,05/01/2015,4
65,161,201501,2015,1,1,22:25,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,5903,LATAM,Central America,Mexico,USA,2015,1,3,First Class,1,300,0.25,150,01/01/2015,01/01/2015,03/01/2015,2
71,172,201501,2015,1,2,00:31,5,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8646,LATAM,South America,Brazil,USA,2015,1,4,Standard Class,4,500,  -  ,245,02/01/2015,02/01/2015,04/01/2015,2
73,183,201501,2015,1,2,01:13,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8504,LATAM,Central America,Mexico,USA,2015,2,4,Standard Class,4,400,0.03,245,02/01/2015,02/01/2015,04/02/2015,33
75,187,201501,2015,1,2,01:55,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2505,LATAM,Central America,Mexico,Puerto Rico,2015,1,8,Standard Class,4,200,0.13,125,02/01/2015,02/01/2015,08/01/2015,6
81,195,201501,2015,1,2,04:01,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,674,LATAM,Central America,Panama,USA,2015,1,4,Standard Class,4,120,0.06,97,02/01/2015,02/01/2015,04/01/2015,2
83,198,201706,2017,6,11,23:37,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,1265,LATAM,Central America,Panama,USA,2017,6,16,Standard Class,4,200,0.01,100,11/06/2017,11/06/2017,16/06/2017,5
91,208,201501,2015,1,2,07:31,5,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,8912,LATAM,Central America,Mexico,Puerto Rico,2015,1,4,First Class,1,300,0.15,147,02/01/2015,02/01/2015,04/01/2015,2
93,210,201501,2015,1,2,08:13,4,Outdoors,Golf Gloves,Bag Boy Beverage Holder,2256,LATAM,Central America,Mexico,USA,2015,1,6,Second Class,2,100,0.06,59,02/01/2015,02/01/2015,06/01/2015,4
95,215,201501,2015,1,2,08:55,5,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,9032,LATAM,Central America,Mexico,Puerto Rico,2015,1,4,First Class,1,200,0.12,97,02/01/2015,02/01/2015,04/01/2015,2
113,260,201501,2015,1,2,15:14,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10216,LATAM,South America,Argentina,USA,2015,1,6,Standard Class,4,50,0.12,125,02/01/2015,02/01/2015,06/01/2015,4
115,264,201501,2015,1,2,15:56,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,104,LATAM,South America,Argentina,USA,2016,12,16,Standard Class,4,300,0.07,150,02/01/2015,02/01/2015,16/12/2016,714
116,267,201501,2015,1,2,16:17,3,Fitness,Hockey,Nike Dri-FIT Crew Sock 6 Pack,8763,LATAM,Caribbean,Dominican�Republic,USA,2015,1,4,Standard Class,4,66,  -  ,36,02/01/2015,02/01/2015,04/01/2015,2
118,277,201501,2015,1,2,16:59,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1737,LATAM,South America,Colombia,Puerto Rico,2015,1,6,Standard Class,4,50,0.1,125,02/01/2015,02/01/2015,06/01/2015,4
133,313,201501,2015,1,2,22:14,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10604,LATAM,Caribbean,Dominican�Republic,USA,2015,1,6,Second Class,2,100,0.05,125,02/01/2015,02/01/2015,06/01/2015,4
135,317,201501,2015,1,2,22:56,1,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,7738,LATAM,South America,Argentina,USA,2015,1,8,Standard Class,4,40,0.13,97,02/01/2015,02/01/2015,08/01/2015,6
136,320,201501,2015,1,2,23:17,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,9126,LATAM,South America,Argentina,USA,2015,1,4,Standard Class,4,300,  -  ,150,02/01/2015,02/01/2015,04/01/2015,2
155,366,201501,2015,1,3,05:57,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,9044,LATAM,South America,Brazil,Puerto Rico,2015,1,9,Second Class,2,120,0.1,147,03/01/2015,03/01/2015,09/01/2015,6
156,367,201501,2015,1,3,06:18,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5200,LATAM,Central America,Nicaragua,USA,2015,1,5,First Class,1,50,0.06,125,03/01/2015,03/01/2015,05/01/2015,2
158,369,201501,2015,1,3,07:00,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12345,LATAM,Central America,Mexico,Puerto Rico,2015,1,5,First Class,1,400,0.03,200,03/01/2015,03/01/2015,05/01/2015,2
173,420,201501,2015,1,8,23:17,4,Footwear,Fitness Accessories,Under Armour Hustle Storm Medium Duffle Bag,9027,LATAM,Central America,Mexico,USA,2015,1,11,Second Class,2,140,0.18,66,08/01/2015,08/01/2015,11/01/2015,3
175,426,201501,2015,1,3,12:57,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,384,LATAM,Central America,Mexico,USA,2015,1,5,First Class,1,120,0.03,97,03/01/2015,03/01/2015,05/01/2015,2
178,432,201501,2015,1,3,14:00,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8503,LATAM,Central America,El Salvador,USA,2015,1,7,Standard Class,4,400,0.2,200,03/01/2015,03/01/2015,07/01/2015,4
193,470,201501,2015,1,1,09:48,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,6174,LATAM,Central America,Mexico,USA,2015,1,6,Same Day,3,200,  -  ,100,01/01/2015,01/01/2015,06/01/2015,5
195,480,201501,2015,1,3,19:58,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,12096,LATAM,Central America,Panama,Puerto Rico,2015,1,9,Second Class,2,200,0.25,100,03/01/2015,03/01/2015,09/01/2015,6
196,481,201501,2015,1,3,20:19,4,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,2765,LATAM,Central America,Mexico,USA,2015,1,5,Standard Class,4,240,0.01,147,03/01/2015,03/01/2015,05/01/2015,2
198,484,201501,2015,1,3,21:01,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,7436,LATAM,Central America,Panama,USA,2017,8,20,Standard Class,4,400,0.18,245,03/01/2015,03/01/2015,20/08/2017,960
213,519,201501,2015,1,4,02:16,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11715,LATAM,South America,Argentina,USA,2015,3,1,Standard Class,4,100,0.25,125,04/01/2015,04/01/2015,01/03/2015,56
215,524,201501,2015,1,4,02:58,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,5925,LATAM,South America,Brazil,USA,2015,1,10,Standard Class,4,200,0.18,100,04/01/2015,04/01/2015,10/01/2015,6
216,525,201501,2015,1,4,03:19,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,7282,LATAM,Caribbean,Dominican�Republic,USA,2015,1,6,Standard Class,4,120,0.01,97,04/01/2015,04/01/2015,06/01/2015,2
235,576,201501,2015,1,4,09:58,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4285,LATAM,Central America,El Salvador,USA,2015,1,10,Standard Class,4,400,0.18,200,04/01/2015,04/01/2015,10/01/2015,6
236,579,201501,2015,1,4,10:19,3,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,9785,LATAM,Central America,El Salvador,Puerto Rico,2015,1,6,Standard Class,4,180,0.04,147,04/01/2015,04/01/2015,06/01/2015,2
238,587,201501,2015,1,4,11:01,2,Outdoors,Electronics,Titleist Pro V1x High Numbers Personalized Go,4939,LATAM,Central America,Mexico,Puerto Rico,2015,1,8,Standard Class,4,104,0.18,122,04/01/2015,04/01/2015,08/01/2015,4
253,635,201501,2015,1,4,16:17,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,45,LATAM,South America,Argentina,USA,2015,1,8,Standard Class,4,50,  -  ,125,04/01/2015,04/01/2015,08/01/2015,4
255,645,201501,2015,1,4,16:59,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,10346,LATAM,Caribbean,Cuba,Puerto Rico,2015,1,10,Second Class,2,130,0.16,65,04/01/2015,04/01/2015,10/01/2015,6
256,649,201501,2015,1,4,17:20,3,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,4199,LATAM,Central America,Mexico,USA,2015,1,6,Standard Class,4,120,0.2,97,04/01/2015,04/01/2015,06/01/2015,2
273,683,201501,2015,1,4,23:17,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,10665,LATAM,Central America,Mexico,Puerto Rico,2015,1,8,Standard Class,4,200,0.03,100,04/01/2015,04/01/2015,08/01/2015,4
275,691,201501,2015,1,4,23:59,3,Footwear,Cardio Equipment,Nike Women's Tempo Shorts,10942,LATAM,Central America,Honduras,USA,2015,1,5,Same Day,3,90,0.13,55,04/01/2015,04/01/2015,05/01/2015,1
278,698,201501,2015,1,5,01:02,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,488,LATAM,Central America,El Salvador,USA,2015,1,9,Standard Class,4,200,0.01,125,05/01/2015,05/01/2015,09/01/2015,4
293,738,201708,2017,8,28,10:54,4,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,4731,LATAM,South America,Brazil,Puerto Rico,2017,8,28,Standard Class,4,160,0.13,97,28/08/2017,28/08/2017,28/08/2017,0
295,744,201502,2015,2,6,22:43,5,Golf,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,1937,LATAM,Central America,Mexico,USA,2015,2,9,Standard Class,4,200,0.25,97,06/02/2015,06/02/2015,09/02/2015,3
296,746,201501,2015,1,5,07:21,2,Fitness,Tennis & Racquet,Nike Men's Comfort 2 Slide,6665,LATAM,Central America,Mexico,Puerto Rico,2015,1,7,First Class,1,90,0.02,106,05/01/2015,05/01/2015,07/01/2015,2
313,784,201501,2015,1,5,13:18,2,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,7543,LATAM,Central America,Panama,Puerto Rico,2015,1,9,Second Class,2,100,0.09,125,05/01/2015,05/01/2015,09/01/2015,4
315,792,201501,2015,1,5,14:00,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,4375,LATAM,Central America,Panama,USA,2017,8,19,Standard Class,4,400,0.12,245,05/01/2015,05/01/2015,19/08/2017,957
316,793,201501,2015,1,5,14:21,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,3870,LATAM,Central America,Panama,Puerto Rico,2015,1,7,Second Class,2,130,0.2,65,05/01/2015,05/01/2015,07/01/2015,2
318,794,201705,2017,5,10,13:30,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,8829,LATAM,Central America,Nicaragua,USA,2017,5,14,First Class,1,130,0.18,65,10/05/2017,10/05/2017,14/05/2017,4
333,828,201501,2015,1,5,20:18,2,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,2071,LATAM,South America,Brazil,USA,2015,2,13,Standard Class,4,200,0.09,245,05/01/2015,05/01/2015,13/02/2015,39
335,833,201501,2015,1,3,17:30,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7710,LATAM,Central America,Guatemala,USA,2015,1,7,Standard Class,4,400,0.15,200,03/01/2015,03/01/2015,07/01/2015,4
336,838,201501,2015,1,5,21:21,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,5479,LATAM,Central America,Honduras,USA,2015,1,7,Standard Class,4,300,0.17,150,05/01/2015,05/01/2015,07/01/2015,2
338,841,201501,2015,1,5,22:03,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,4666,LATAM,South America,Argentina,Puerto Rico,2015,1,9,Standard Class,4,400,0.1,245,05/01/2015,05/01/2015,09/01/2015,4
353,879,201501,2015,1,6,03:19,1,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2234,LATAM,South America,Venezuela,USA,2015,1,10,Standard Class,4,50,0.1,125,06/01/2015,06/01/2015,10/01/2015,4
355,882,201501,2015,1,6,04:01,1,Fan Shop,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,11682,LATAM,South America,Venezuela,USA,2015,1,16,Standard Class,4,300,0.12,150,06/01/2015,06/01/2015,16/01/2015,10
356,886,201501,2015,1,6,04:22,2,Golf,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,2209,LATAM,South America,Venezuela,Puerto Rico,2015,1,8,Standard Class,4,140,0.09,139,06/01/2015,06/01/2015,08/01/2015,2
358,891,201501,2015,1,6,05:04,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2979,LATAM,South America,Per�,Puerto Rico,2017,6,30,Second Class,2,50,0.15,125,06/01/2015,06/01/2015,30/06/2017,906
373,934,201501,2015,1,6,10:19,2,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,3630,LATAM,Central America,Mexico,Puerto Rico,2015,1,10,Second Class,2,120,0.1,147,06/01/2015,06/01/2015,10/01/2015,4
375,936,201501,2015,1,5,04:32,1,Fitness,Lacrosse,Under Armour Men's Tech II T-Shirt,6561,LATAM,Central America,Mexico,USA,2015,1,9,Second Class,2,25,0.09,59,05/01/2015,05/01/2015,09/01/2015,4
